用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,居民小区,办公室,高校,商业街,地铁,农村,高铁,手机没有信号,有信号无法拨通,通话过程中突然中断,通话中有杂音、听不清、断断续续,串线,通话过程中一方听不见,脱网次数,mos质差次数,未接通掉话次数,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否投诉,其他,医院,地下,山区,电梯,道路,其他.1
860,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,2.0,5G,,0.0,是,0.0,0.0,318.0,0.0,苹果,A2408,49.0,318.0,0.0,247.0,1.17182485413564e-07,17067397.0,2.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
861,10.0,10.0,10.0,10.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,4.0,2.0,5G,,0.0,是,0.0,0.0,482.0,0.0,华为,MGI-AN00,168.0,482.0,0.0,420.0,1.16087046943454e-07,17228451.0,2.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
862,1.0,1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,5G,,0.0,是,0.0,0.0,241.0,0.0,华为,NTH-AN00,90.0,241.0,0.0,282.0,1.13549543397415e-07,17613457.0,2.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
863,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,890.0,0.0,华为,POT-AL00a,49.0,890.0,0.0,399.0,1.09295446576823e-07,9149512.0,1.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
864,4.0,3.0,3.0,2.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,5G,,0.0,是,0.0,0.0,280.0,0.0,苹果,A2412,111.0,280.0,0.0,281.0,9.09397727483284e-08,43985155.0,4.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
865,8.0,6.0,6.0,6.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,0.0,677.0,0.0,苹果,A2408,114.3,677.0,0.0,515.0,8.32667153351366e-08,36028802.0,3.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
866,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,1.0,0.0,5G,,0.0,是,0.0,0.0,204.0,0.0,华为,LIO-AN00,65.0,204.0,0.0,178.0,6.85303260398792e-08,14592080.0,1.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
867,5.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,34.0,0.0,4G,,0.0,是,0.0,0.0,793.0,0.0,苹果,A2644,123.4,793.0,0.0,566.0,6.61043172399068e-08,15127605.0,1.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
868,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,4.0,4G,,0.0,是,0.0,0.0,292.0,0.0,小米科技,2201123C,69.3,292.0,0.0,152.0,5.63518796197623e-08,17745637.0,1.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
869,10.0,10.0,10.0,10.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,6.0,0.0,5G,,0.0,是,0.0,0.0,1471.0,0.0,华为,EBG-AN00,150.0,1471.0,0.0,811.0,3.98234689339707e-08,25110821.0,1.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
870,3.0,1.0,6.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,4G,,153.06,是,4.68,0.0,1657.0,0.0,苹果,A2217,142.37,1657.0,0.0,1464.0,1.66409494660127e-08,60092725.0,1.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
871,7.0,7.0,7.0,7.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,139.0,0.0,华为,ELE-AL00,110.0,139.0,0.0,148.0,0.0,4030280.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
872,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,4G,,3.4,是,0.87,0.0,74.0,0.0,华为,TAS-AL00,60.0,74.0,0.0,199.0,0.0,14216475.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
873,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5.0,0.0,4G,,0.0,是,0.0,0.0,104.0,0.0,苹果,A2629,110.5,104.0,0.0,132.0,0.0,30313644.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
874,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,67.0,0.0,华为,ALP-TL00,15.0,67.0,0.0,60.0,0.0,2040159.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
875,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8.0,0.0,4G,,0.0,是,0.0,0.0,379.0,0.0,苹果,iPhone 8 Plus A1864,118.1,379.0,0.0,290.0,0.0,7225618.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
876,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,18.0,0.0,4G,,0.0,是,0.0,0.0,193.0,0.0,苹果,iPhone X A1865,59.1,193.0,0.0,209.0,0.0,1435100.0,0.0,否,三星,1.0,-1,-1,-1,-1,-1,-1,-1
877,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,1.0,2.0,4G,,0.0,是,5.0,0.0,289.0,0.0,小米科技,M1808D2TC,64.0,289.0,0.0,163.0,0.0,22629832.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
878,10.0,10.0,10.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,2.0,4.0,4G,,0.0,是,0.0,0.0,159.0,0.0,小米科技,M1901F7E,0.0,159.0,0.0,134.0,0.0,2499445.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
879,10.0,9.0,10.0,9.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,7.0,2.0,4G,,0.0,是,0.0,0.0,123.0,0.0,苹果,iPhone 7Plus A1661,24.95,123.0,0.0,151.0,0.0,7955106.0,0.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
880,10.0,10.0,10.0,10.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,6.0,0.0,4G,,0.0,是,0.0,0.0,187.0,0.0,小米科技,M2011K2C,56.0,187.0,0.0,294.0,0.0,3585434.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
881,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3.0,0.0,4G,,0.0,是,0.0,0.0,112.0,0.0,华为,LYA-AL10,69.1,112.0,0.0,157.0,0.0,3660087.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
882,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,6.0,58.0,3.0,5G,,0.0,是,0.0,0.0,1134.0,0.0,苹果,A2639,280.0,1134.0,0.0,1309.0,0.0,15708813.0,0.0,是,白金卡,0.0,-1,-1,-1,-1,-1,-1,-1
883,10.0,10.0,10.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,172.0,0.0,苹果,A2223,33.0,172.0,0.0,153.0,0.0,10669432.0,0.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
884,10.0,10.0,10.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,477.0,1.0,0.0,4G,,0.0,是,0.0,0.0,575.0,0.0,小米科技,M1807E8A,80.7,575.0,0.0,321.0,0.0,10585951.0,0.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
885,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8.0,2.0,4G,,0.0,是,0.0,0.0,687.0,0.0,华为,ASK-AL00x,119.1,687.0,0.0,309.0,0.0,26286625.0,0.0,否,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
886,9.0,10.0,9.0,9.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6.0,0.0,4G,,0.0,是,0.0,0.0,527.0,0.0,华为,ELE-AL00,118.6,527.0,0.0,482.0,0.0,31684820.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
887,10.0,8.0,8.0,8.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,353.0,1.0,0.0,5G,是,0.0,是,0.0,0.0,325.0,0.0,华为,CDY-AN00,62.0,325.0,0.0,389.0,0.0,19119550.0,0.0,是,二星,0.0,-1,-1,-1,-1,-1,-1,-1
888,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,4G,,0.0,是,0.0,0.0,81.0,0.0,华为,VOG-AL00,18.0,81.0,0.0,165.0,0.0,29748.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
889,10.0,7.0,9.0,8.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,5.0,0.0,4G,,0.0,是,0.0,0.0,514.0,0.0,苹果,iPhone 6S PLUS A1699,105.0,514.0,0.0,446.0,0.0,7251836.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
890,5.0,6.0,4.0,5.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,50.0,0.0,5G,,0.0,是,0.0,0.0,5357.0,0.0,苹果,A2644,138.0,5357.0,0.0,2987.0,0.0,26714038.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,1
891,7.0,10.0,7.0,6.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,0.0,80.0,0.0,小米科技,M2104K10AC,39.0,80.0,0.0,251.0,0.0,16371128.0,0.0,是,二星,0.0,-1,-1,-1,-1,-1,-1,-1
892,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,4G,,39.31,是,11.74,0.0,173.0,0.0,华为,YAL-AL00,11.74,173.0,0.0,60.0,0.0,833458.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
893,8.0,8.0,8.0,8.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,0.0,492.0,0.0,步步高,vivo X9,69.0,492.0,0.0,185.0,0.0,4026035.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
894,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,64.0,0.0,欧珀,PDAM10,68.0,64.0,0.0,94.0,0.0,930984.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
895,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,322.0,5.0,0.0,4G,,0.0,是,0.0,0.0,349.0,0.0,苹果,A2223,105.0,349.0,0.0,320.0,0.0,103344378.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
896,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,0.0,4G,,0.0,是,0.0,0.0,65.0,0.0,华为,EML-AL00,60.0,65.0,0.0,123.0,0.0,801727.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
897,9.0,6.0,9.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,309.0,4.0,8.0,5G,,0.0,是,0.0,0.0,485.0,0.0,小米科技,M2007J22C,75.4,485.0,0.0,422.0,0.0,18746349.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
898,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,307.0,4.0,0.0,5G,,0.0,是,0.0,0.0,672.0,0.0,万普拉斯,LE2120,65.5,672.0,0.0,609.0,0.0,16553493.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
899,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,290.0,7.0,0.0,4G,,0.0,是,0.0,0.0,283.0,0.0,华为,TAS-AL00,22.7,283.0,0.0,207.0,0.0,9749556.0,0.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
900,8.0,8.0,10.0,6.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,195.0,0.0,华为,VOG-AL00,9.9,195.0,0.0,86.0,0.0,1008.0,0.0,否,三星,0.0,1,-1,-1,-1,-1,-1,-1
901,9.0,9.0,8.0,8.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,119.0,0.0,华为,EVR-AL00,60.0,119.0,0.0,171.0,0.0,3330997.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
902,5.0,8.0,7.0,6.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,54.0,0.0,0.0,4G,,0.0,是,0.0,0.0,42.0,0.0,华为,LIO-AN00,79.0,42.0,0.0,73.0,0.0,21975392.0,0.0,是,三星,1.0,-1,-1,-1,-1,-1,-1,-1
903,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,5G,,0.0,是,0.0,0.0,356.0,0.0,欧珀,PEAM00,125.0,356.0,0.0,182.0,0.0,9154619.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
904,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,54.0,0.0,华为,GLK-AL00,10.0,54.0,0.0,91.0,0.0,1485.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
905,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,2.0,0.0,5G,,0.0,是,0.0,0.0,926.0,0.0,华为,NOH-AN00,298.0,926.0,0.0,1071.0,0.0,15913147.0,0.0,是,白金卡,0.0,-1,-1,-1,-1,-1,-1,-1
906,9.0,9.0,9.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,287.0,1.0,0.0,4G,是,0.0,是,0.0,0.0,597.0,0.0,华为,BAC-AL00,21.0,597.0,0.0,277.0,0.0,32297859.0,0.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
907,9.0,9.0,9.0,9.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,4G,,0.0,是,0.0,0.0,292.0,0.0,小米科技,M2101K9C,29.15,292.0,0.0,169.0,0.0,2503544.0,0.0,否,三星,0.0,1,-1,-1,-1,-1,-1,-1
908,10.0,10.0,10.0,9.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,260.0,4.0,1.0,5G,,0.0,是,0.0,0.0,448.0,0.0,华为,GLK-AL00,130.0,448.0,0.0,464.0,0.0,38247629.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
909,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,246.0,0.0,0.0,4G,,0.0,是,0.0,0.0,180.0,0.0,华为,LND-AL40,50.0,180.0,0.0,197.0,0.0,10503678.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
910,8.0,7.0,8.0,8.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,148.0,0.0,华为,EBG-AN00,8.0,148.0,0.0,134.0,0.0,459.0,0.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
911,7.0,6.0,7.0,6.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,56.0,12.0,5G,,0.0,是,0.0,0.0,1750.0,0.0,苹果,A2412,140.0,1750.0,0.0,2010.0,0.0,9721751.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
912,9.0,8.0,8.0,8.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,6.0,6.0,5G,,0.0,是,0.0,0.0,737.0,0.0,华为,LIO-AN00m,60.0,737.0,0.0,997.0,0.0,22179919.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
913,8.0,8.0,8.0,8.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,8.0,5G,,0.0,是,0.0,0.0,430.0,0.0,小米科技,M2001J2C,115.0,430.0,0.0,279.0,0.0,39025278.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
914,10.0,10.0,10.0,8.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,23.0,0.0,华为,VCE-AL00,0.0,23.0,0.0,97.0,0.0,158426.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
915,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6.0,2.0,4G,,0.0,是,0.0,0.0,1068.0,0.0,华为,YAL-AL10,89.0,1068.0,0.0,1063.0,0.0,8049530.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
916,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,2G,,0.0,否,0.0,0.0,214.0,0.0,华为,ELS-AN00,44.0,214.0,0.0,162.0,0.0,0.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
917,3.0,1.0,5.0,8.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,7.0,0.0,0.0,4G,,0.0,是,0.0,0.0,95.0,0.0,苹果,A2223,25.0,95.0,0.0,146.0,0.0,19857250.0,0.0,否,一星,0.0,-1,-1,-1,-1,-1,-1,-1
918,10.0,10.0,10.0,10.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,79.0,0.0,华为,HMA-AL00,19.0,79.0,0.0,69.0,0.0,4847487.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
919,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,234.0,9.0,2.0,4G,,0.0,是,0.0,0.0,242.0,0.0,苹果,A2220,70.0,242.0,0.0,250.0,0.0,10938034.0,0.0,否,二星,0.0,-1,-1,-1,-1,-1,-1,-1
920,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2.0,4.0,5G,,0.0,是,0.0,0.0,400.0,0.0,三星,SM-N9860,8.1,400.0,0.0,254.0,0.0,8241885.0,0.0,是,二星,0.0,-1,-1,-1,-1,-1,-1,-1
921,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,0.0,4G,,0.0,是,0.0,0.0,81.0,0.0,华为,OCE-AN50,30.0,81.0,0.0,110.0,0.0,10672209.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
922,6.0,6.0,6.0,4.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,91.0,0.0,小米科技,M1803E1A,11.0,91.0,0.0,326.0,0.0,1773165.0,0.0,否,准星,0.0,-1,-1,-1,-1,-1,-1,-1
923,10.0,7.0,6.0,7.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,7.0,0.0,4G,,0.0,是,0.0,0.0,942.0,0.0,华为,YAL-AL00,48.0,942.0,0.0,898.0,0.0,332748.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
924,10.0,9.0,9.0,9.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,4G,,0.0,是,0.0,0.0,63.0,0.0,华为,CLT-AL00,18.0,63.0,0.0,71.0,0.0,719988.0,0.0,否,三星,0.0,-1,-1,-1,-1,-1,-1,-1
925,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,185.0,5.0,0.0,5G,,0.0,是,0.0,0.0,162.0,0.0,欧珀,PFJM10,42.0,162.0,0.0,126.0,0.0,19953767.0,0.0,是,三星,0.0,-1,-1,-1,-1,-1,-1,-1
926,10.0,10.0,8.0,8.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,5.0,0.0,5G,,0.0,是,0.0,0.0,160.0,0.0,苹果,A2639,21.0,160.0,0.0,126.0,0.0,1040535.0,0.0,是,二星,0.0,-1,-1,-1,-1,-1,-1,-1
927,10.0,10.0,10.0,10.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,179.0,1.0,5.0,5G,,0.0,是,0.0,0.0,715.0,0.0,欧珀,PFGM00,109.1,715.0,0.0,364.0,0.0,33682285.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
928,10.0,10.0,10.0,10.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,175.0,10.0,1.0,5G,,0.0,是,0.0,0.0,212.0,0.0,华为,WLZ-AN00,135.0,212.0,0.0,155.0,0.0,19179768.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
929,7.0,8.0,7.0,6.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,5G,,0.0,是,0.0,0.0,240.0,0.0,小米科技,M2001J2C,58.0,240.0,0.0,86.0,0.0,78744450.0,0.0,是,银卡,0.0,-1,-1,-1,-1,-1,-1,-1
