用户,手机上网整体满意度,网络覆盖与信号强度,手机上网速度,手机上网稳定性,上网质差次数,脱网次数,微信质差次数,套外流量（MB）,套外流量费（元）,是否不限量套餐到达用户,终端品牌,终端品牌类型,是否5G网络客户,当月MOU,客户星级标识,场景问题次数,现象问题次数,大类问题次数,小类视频问题次数,小类游戏问题次数,全部应用问题次数,性别_女,性别_性别不详,性别_男
用户1863,9,9,9,9,0,0,0,335.49,10.0,0,21,1,0,58.0,4,1,1,0,0,0,0,0,0,1
用户1864,10,10,10,10,0,0,2,0.0,0.0,0,16,17,0,231.0,4,2,1,0,0,0,0,0,0,1
用户1865,1,1,1,1,0,0,0,0.0,0.0,0,21,1,1,924.0,2,3,4,5,0,0,0,0,0,1
用户1866,6,5,5,5,1,0,0,0.0,0.0,0,21,1,0,71.0,3,1,1,0,0,0,0,0,0,1
用户1867,5,7,7,7,0,0,0,0.0,0.0,0,21,1,0,61.0,3,7,4,5,0,0,0,0,0,1
用户1868,10,9,10,9,0,0,0,0.0,0.0,1,8,17,1,739.0,4,0,0,0,0,0,0,0,0,1
用户1869,1,5,1,1,0,0,3,0.0,0.0,0,8,17,0,150.0,3,1,1,1,10,0,0,0,0,1
用户1870,10,10,10,10,0,0,5,0.0,0.0,0,21,1,0,22.0,3,0,0,0,0,0,0,1,0,0
用户1871,9,9,9,9,0,0,2,0.0,0.0,0,11,6,1,100.0,3,0,0,0,0,0,0,0,0,1
用户1872,7,7,7,7,9,0,6,0.0,0.0,1,8,17,0,115.0,3,1,3,1,0,0,0,0,1,0
用户1873,7,8,8,7,0,59,0,0.0,0.0,0,8,17,1,303.0,3,0,0,0,0,0,0,1,0,0
用户1874,10,10,10,10,0,0,0,149.89,30.0,0,11,17,0,56.0,3,0,0,0,0,0,0,1,0,0
用户1875,8,8,8,8,0,7,0,142.36,20.0,0,21,1,1,65.0,2,1,1,0,0,0,0,1,0,0
用户1876,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,239.0,3,0,0,0,0,0,0,0,1,0
用户1877,1,1,10,1,0,55,0,0.0,0.0,1,20,5,1,3250.0,4,1,3,2,0,0,10,0,0,1
用户1878,8,5,5,7,0,6,0,198.07,20.0,0,8,17,1,10.0,3,1,2,0,0,0,0,0,0,1
用户1879,10,9,10,9,0,0,3,0.0,0.0,0,11,17,0,122.0,3,0,0,0,0,0,0,0,0,1
用户1880,9,9,9,9,0,0,0,0.0,0.0,0,8,17,0,300.0,3,0,0,0,0,0,0,1,0,0
用户1881,8,8,8,8,0,0,0,0.0,0.0,0,21,14,0,62.0,3,3,2,2,0,0,0,0,0,1
用户1882,10,10,10,10,3,0,0,0.0,0.0,0,21,1,1,185.0,4,0,0,0,0,0,0,0,0,1
用户1883,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,287.0,4,2,3,1,0,0,0,1,0,0
用户1884,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,487.0,3,0,0,0,0,0,0,1,0,0
用户1885,7,7,8,6,44,0,0,0.0,0.0,0,8,17,0,132.0,2,4,2,0,0,0,0,0,0,1
用户1886,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,194.0,3,1,1,0,0,0,0,0,0,1
用户1887,10,10,10,10,0,0,0,0.0,0.0,0,11,17,1,141.0,3,2,4,2,10,0,0,0,0,1
用户1888,10,10,10,10,17,0,0,0.0,0.0,0,15,17,0,51.0,3,0,0,0,0,0,0,0,0,1
用户1889,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,75.0,3,0,0,0,0,0,0,0,0,1
用户1890,10,9,10,10,1,0,0,0.0,1.16,0,8,17,1,23.0,3,0,0,0,0,0,0,0,0,1
用户1891,10,10,8,8,0,0,0,0.0,0.0,0,15,17,1,71.0,3,1,1,0,0,0,0,0,0,1
用户1892,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,118.0,3,0,0,0,0,0,0,1,0,0
用户1893,9,8,8,8,0,0,0,0.0,0.0,0,11,17,1,59.0,3,1,1,0,0,0,0,0,0,1
用户1894,6,6,7,5,0,18,0,28.82,9.86,0,21,1,0,88.0,3,2,1,0,0,0,0,1,0,0
用户1895,10,10,10,10,0,0,0,6.56,1.45,0,21,14,0,101.0,3,1,1,0,0,0,0,1,0,0
用户1896,7,7,9,5,2,0,4,0.0,0.0,0,11,17,1,16.0,3,1,3,1,0,0,0,0,0,1
用户1897,5,5,5,5,0,183,0,0.0,0.0,0,8,17,0,50.0,3,1,4,4,10,0,10,0,0,1
用户1898,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,220.0,4,0,0,0,0,0,0,0,0,1
用户1899,8,6,5,10,0,0,0,0.0,0.0,0,11,17,1,53.0,3,0,0,0,0,0,0,0,0,1
用户1900,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,58.0,3,0,0,0,0,0,0,0,0,1
用户1901,9,8,8,9,0,0,0,0.0,0.0,0,11,17,1,981.0,4,4,4,3,10,0,10,0,0,1
用户1902,10,10,10,10,0,0,0,0.0,0.0,0,11,17,0,111.0,3,0,0,0,0,0,0,0,0,1
用户1903,7,6,6,7,0,0,0,0.0,0.0,0,8,17,0,71.0,3,3,3,2,0,0,0,0,0,1
用户1904,10,10,10,10,0,0,5,0.0,0.0,0,16,17,1,619.0,3,0,0,0,0,0,0,0,1,0
用户1905,10,10,10,10,1,6,0,0.0,0.0,0,11,17,1,28.0,3,0,3,4,0,0,0,0,0,1
用户1906,8,8,8,8,0,0,0,0.0,0.0,0,8,17,0,86.0,3,1,1,0,0,0,0,1,0,0
用户1907,8,8,7,7,1,87,0,0.0,0.0,0,8,17,1,45.0,3,2,3,3,0,0,0,0,1,0
用户1908,10,10,10,10,0,19,0,0.0,0.0,0,8,17,0,105.0,3,0,0,0,0,0,0,0,1,0
用户1909,10,10,10,10,0,0,0,0.0,0.0,0,15,17,0,412.0,3,1,1,0,0,0,0,0,0,1
用户1910,9,8,8,8,0,0,1,0.0,0.0,0,8,17,1,76.0,3,3,4,3,0,0,0,1,0,0
用户1911,2,2,2,1,0,31,0,0.0,0.0,0,21,14,0,74.0,3,1,2,1,0,0,0,1,0,0
用户1912,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,475.0,3,0,0,0,0,0,0,1,0,0
用户1913,10,9,9,9,0,0,0,0.0,0.0,0,8,17,0,141.0,3,2,3,3,0,0,0,1,0,0
用户1914,10,9,9,9,0,0,3,0.0,0.0,1,11,17,0,72.0,3,0,0,0,0,0,0,1,0,0
用户1915,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,41.0,3,1,1,0,0,0,0,1,0,0
用户1916,9,9,9,9,0,0,0,0.0,0.0,0,21,1,1,209.0,3,2,2,0,0,0,0,1,0,0
用户1917,8,10,10,10,0,0,0,0.0,0.0,0,16,17,1,19.0,3,1,2,1,0,0,0,1,0,0
用户1918,9,9,9,9,0,0,0,0.0,0.0,0,15,17,1,80.0,3,1,1,0,0,0,0,1,0,0
用户1919,8,8,8,8,0,0,0,0.0,0.0,0,8,17,1,55.0,3,1,4,2,0,0,0,1,0,0
用户1920,10,7,8,8,1,0,0,0.0,0.0,0,15,17,0,477.0,3,1,3,2,0,0,0,0,0,1
用户1921,8,8,9,10,0,0,0,0.0,0.0,0,8,17,0,163.0,3,0,0,0,0,0,0,0,0,1
用户1922,6,5,5,5,0,34,0,0.0,0.0,0,11,17,1,185.0,3,2,3,4,0,0,0,0,0,1
用户1923,10,9,10,9,0,0,0,0.0,0.0,0,8,17,1,248.0,3,0,0,0,0,0,0,1,0,0
用户1924,10,9,10,10,0,0,0,0.0,0.0,0,21,1,1,601.0,4,0,0,0,0,0,0,1,0,0
用户1925,10,10,10,10,2,0,0,0.0,0.0,0,21,14,0,118.0,3,0,0,0,0,0,0,1,0,0
用户1926,8,8,8,8,1,10,0,0.0,0.0,0,8,17,0,106.0,3,2,1,0,0,0,0,0,0,1
用户1927,8,7,6,6,1,0,0,0.0,0.0,0,21,14,0,55.0,3,1,1,1,0,0,0,0,0,1
用户1928,10,9,9,10,2,0,1,0.0,0.0,0,21,1,0,1035.0,3,1,1,1,0,0,0,1,0,0
用户1929,5,5,5,5,0,0,0,0.0,0.0,0,8,17,0,76.0,3,1,4,2,0,0,10,1,0,0
用户1930,1,1,1,1,0,25,0,0.0,0.0,0,11,17,0,71.0,0,5,4,2,0,0,0,0,0,1
用户1931,4,4,4,2,0,105,0,1407.29,36.0,0,15,17,1,14.0,-1,1,1,0,0,0,0,0,0,1
用户1932,10,10,10,9,0,0,0,0.0,0.0,0,8,17,1,1367.0,3,3,2,1,0,0,0,0,0,1
用户1933,10,10,10,10,0,0,0,0.0,0.0,0,11,17,1,17.0,3,0,0,0,0,0,0,0,0,1
用户1934,10,10,10,10,0,0,0,0.0,0.0,0,11,17,0,14.0,4,1,1,0,0,0,0,1,0,0
用户1935,10,8,8,10,0,0,1,0.0,0.0,0,21,1,0,1053.0,3,0,0,0,0,0,0,1,0,0
用户1936,7,8,7,7,0,0,0,0.0,0.0,0,8,17,0,159.0,2,3,3,2,0,0,10,0,0,1
用户1937,9,9,8,8,0,0,0,0.0,0.0,0,8,17,0,153.0,3,2,1,0,0,0,0,0,0,1
用户1938,5,5,3,3,0,0,0,0.0,0.0,0,21,1,0,144.0,3,0,0,0,0,0,0,1,0,0
用户1939,6,6,9,8,1,0,2,0.0,0.0,0,21,14,0,107.0,3,2,1,0,0,0,0,0,0,1
用户1940,7,5,5,6,0,0,0,0.0,0.0,0,21,14,0,35.0,3,1,1,0,0,0,0,1,0,0
用户1941,8,8,8,8,0,0,0,0.0,0.0,0,8,17,0,201.0,3,0,0,0,0,0,0,1,0,0
用户1942,8,8,8,7,0,0,0,0.0,0.0,0,15,17,0,147.0,3,2,3,0,0,0,0,0,0,1
用户1943,7,6,7,8,0,0,0,0.0,0.0,0,15,17,0,73.0,3,1,2,1,0,0,0,0,0,1
用户1944,7,7,7,10,0,0,0,0.0,0.0,0,8,17,1,350.0,4,1,0,0,0,0,0,0,0,1
用户1945,10,10,10,9,0,0,1,0.0,0.0,1,8,17,1,20.0,3,0,0,0,0,0,0,1,0,0
用户1946,8,6,8,9,0,0,1,0.0,0.0,0,21,1,1,657.0,3,3,2,0,0,0,0,0,0,1
用户1947,10,10,10,10,0,0,0,0.0,0.0,0,16,17,0,109.0,3,0,0,0,0,0,0,0,0,1
用户1948,10,10,10,10,0,168,0,0.0,0.0,0,11,17,1,148.0,2,0,0,0,0,0,0,0,1,0
用户1949,10,10,10,10,1,0,5,0.0,0.0,0,8,17,0,738.0,4,0,0,0,0,0,0,0,0,1
用户1950,7,6,6,7,0,0,0,0.0,0.0,0,11,17,1,69.0,3,4,3,1,0,0,0,0,0,1
用户1951,6,6,6,5,0,0,0,0.0,0.0,0,21,1,0,118.0,3,1,3,3,0,0,0,0,0,1
用户1952,8,6,7,8,0,0,0,0.0,0.0,0,15,17,1,142.0,3,2,2,1,0,0,0,0,0,1
用户1953,8,8,8,8,0,0,1,0.0,0.0,0,21,1,1,1022.0,3,0,0,0,0,0,0,1,0,0
用户1954,10,10,9,10,0,0,0,0.0,30.0,0,21,1,1,95.0,2,1,3,2,0,0,0,1,0,0
用户1955,10,9,8,9,0,24,0,0.0,0.0,0,8,17,0,549.0,4,2,1,1,0,0,0,0,0,1
用户1956,7,6,6,6,0,0,0,0.0,0.0,0,21,14,0,296.0,2,0,0,0,0,0,0,1,0,0
用户1957,9,8,9,8,0,0,0,0.0,0.0,0,6,17,1,93.0,3,1,1,0,0,0,0,0,1,0
用户1958,10,10,10,10,0,0,0,0.0,190.0,0,8,17,0,48.0,3,0,0,0,0,0,0,0,0,1
用户1959,9,8,9,8,0,0,0,0.0,0.0,1,21,1,1,210.0,3,1,1,0,0,0,0,0,0,1
用户1960,10,8,10,10,0,0,0,0.0,0.0,0,8,17,0,348.0,3,0,0,0,0,0,0,0,0,1
用户1961,10,10,10,10,0,0,4,0.0,0.0,0,8,17,0,190.0,3,2,2,0,0,0,0,1,0,0
用户1962,10,10,10,10,0,0,2,0.0,0.0,0,8,17,0,152.0,3,0,0,0,0,0,0,0,1,0
用户1963,8,7,8,7,0,0,0,0.0,0.0,0,21,1,1,3.0,0,3,2,1,0,0,10,1,0,0
用户1964,8,9,8,9,1,0,0,0.0,0.0,1,11,17,0,148.0,3,2,2,0,0,0,0,0,0,1
用户1965,8,7,8,5,0,0,0,0.0,0.0,0,16,17,0,65.0,4,3,4,4,0,0,0,0,0,1
用户1966,9,8,8,8,0,0,0,0.0,0.0,1,11,17,1,29.0,3,1,1,0,0,0,0,1,0,0
用户1967,9,9,8,9,0,0,2,0.0,0.0,0,21,1,1,387.0,3,4,2,0,0,0,0,1,0,0
用户1968,9,9,9,9,0,0,0,0.0,30.0,0,8,17,0,72.0,3,0,0,0,0,0,0,1,0,0
用户1969,10,10,10,10,0,0,0,0.0,0.0,0,15,17,0,6.0,4,0,0,0,0,0,0,0,1,0
用户1970,5,5,5,3,0,0,0,0.0,0.0,0,16,17,1,1128.0,4,3,4,2,10,0,0,0,0,1
用户1971,3,5,5,3,0,0,0,0.0,0.0,0,8,17,0,131.0,3,2,3,0,0,0,0,0,0,1
用户1972,9,8,9,8,0,0,1,0.0,0.0,0,8,17,0,177.0,3,1,2,0,0,0,0,0,0,1
用户1973,10,9,9,10,0,0,3,0.0,0.0,0,21,1,1,74.0,3,0,0,0,0,0,0,1,0,0
用户1974,8,9,6,6,0,0,0,0.0,0.0,0,21,14,0,41.0,2,1,1,0,0,0,0,1,0,0
用户1975,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,524.0,3,1,2,0,0,0,0,1,0,0
用户1976,9,8,9,8,0,0,0,0.0,0.0,0,21,1,0,371.0,2,0,0,0,0,0,0,0,0,1
用户1977,10,10,10,10,0,0,0,0.0,0.0,0,16,17,1,46.0,3,0,0,0,0,0,0,0,0,1
用户1978,10,10,9,10,0,0,0,0.0,0.0,0,15,17,1,24.0,3,0,0,0,0,0,0,0,0,1
用户1979,6,6,8,3,0,0,0,0.0,0.0,0,16,17,1,214.0,2,2,3,0,0,0,0,1,0,0
用户1980,10,10,10,10,0,0,0,0.0,10.0,0,8,17,0,336.0,3,0,0,0,0,0,0,0,1,0
用户1981,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,263.0,3,0,0,0,0,0,0,1,0,0
用户1982,9,9,8,8,0,0,0,0.0,0.0,0,11,17,0,39.0,3,2,1,0,0,0,0,1,0,0
用户1983,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,6.0,3,5,2,0,0,0,0,1,0,0
用户1984,10,10,10,10,0,0,0,0.0,0.0,0,21,1,1,173.0,4,0,0,0,0,0,0,1,0,0
用户1985,10,10,10,10,0,0,0,0.0,0.0,0,16,17,1,151.0,3,0,0,0,0,0,0,0,0,1
用户1986,10,6,8,7,0,0,0,0.0,0.0,0,8,17,0,1162.0,3,1,2,0,0,0,0,1,0,0
用户1987,10,10,9,9,0,2,0,0.0,0.0,1,21,1,0,497.0,3,2,1,0,0,0,0,1,0,0
用户1988,8,8,6,6,1,6,0,0.0,0.0,0,21,1,1,1174.0,4,2,2,0,0,0,0,1,0,0
用户1989,7,8,8,8,3,0,0,0.0,0.0,1,21,14,1,390.0,3,1,1,0,0,0,0,0,1,0
用户1990,8,10,9,10,0,0,0,0.0,0.0,1,8,17,0,159.0,3,0,0,0,0,0,0,0,0,1
用户1991,1,1,1,1,0,53,17,0.0,0.0,0,21,1,0,202.0,1,1,1,0,0,0,0,0,1,0
用户1992,9,9,8,8,0,0,0,0.0,0.0,0,21,1,1,247.0,3,0,0,0,0,0,0,1,0,0
用户1993,10,10,8,8,0,0,0,0.0,0.0,0,21,14,0,268.0,3,1,1,0,0,0,0,1,0,0
用户1994,8,7,7,7,0,9,0,0.0,0.0,0,21,14,0,18.0,2,1,1,0,0,0,0,1,0,0
用户1995,9,8,9,10,0,0,0,0.0,0.0,0,8,17,0,14.0,3,0,0,0,0,0,0,0,0,1
用户1996,1,1,1,1,0,0,0,0.0,0.0,1,8,17,1,222.0,4,4,2,2,0,0,0,0,0,1
用户1997,5,6,6,6,0,0,0,0.0,0.0,0,21,1,1,219.0,3,1,2,0,0,0,0,0,0,1
用户1998,9,9,9,9,0,0,0,0.0,0.0,0,8,17,1,202.0,4,0,0,0,0,0,0,0,0,1
用户1999,7,6,6,7,4,6,0,106.14,28.92,0,21,1,0,375.0,2,3,1,0,0,0,0,0,0,1
用户2000,10,10,10,10,0,0,0,0.0,0.0,0,15,17,1,82.0,4,0,0,0,0,0,0,1,0,0
用户2001,8,8,7,7,0,0,0,0.0,0.0,1,21,1,1,809.0,3,0,2,2,0,0,0,0,0,1
用户2002,9,7,7,7,0,0,0,0.0,0.0,0,21,1,1,123.0,3,2,3,2,0,0,0,0,0,1
用户2003,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,96.0,4,0,0,0,0,0,0,0,0,1
用户2004,8,9,8,10,0,0,0,0.0,0.0,0,8,17,0,73.0,4,2,2,0,0,0,0,0,0,1
用户2005,7,8,7,8,0,0,0,631.28,150.0,0,15,17,1,224.0,2,1,2,1,0,0,0,1,0,0
用户2006,9,9,9,7,0,0,19,0.0,0.0,0,11,17,1,119.0,2,1,1,0,0,0,0,0,0,1
用户2007,8,7,7,7,0,10,0,0.0,0.0,0,8,17,1,97.0,3,2,2,1,0,0,10,0,0,1
用户2008,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,231.0,3,0,0,0,0,0,0,0,0,1
用户2009,5,3,3,3,0,0,0,0.0,0.0,0,21,14,1,157.0,3,2,3,2,0,0,0,1,0,0
用户2010,10,10,10,10,0,0,2,2435.32,69.0,0,15,17,0,96.0,-1,0,0,0,0,0,0,1,0,0
用户2011,10,10,10,10,0,0,1,0.0,0.0,0,11,17,0,897.0,3,0,0,0,0,0,0,0,0,1
用户2012,7,10,8,8,2,0,0,0.0,0.0,0,8,17,0,81.0,3,1,3,3,0,0,0,0,0,1
用户2013,10,9,10,9,3,0,0,0.0,0.0,0,11,17,0,230.0,3,1,1,0,0,0,0,0,0,1
用户2014,6,6,5,5,0,0,0,0.0,0.0,0,8,17,0,247.0,3,1,1,2,0,0,0,1,0,0
用户2015,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,68.0,3,0,0,0,0,0,0,0,1,0
用户2016,8,8,5,5,0,0,0,0.0,0.0,0,15,17,1,150.0,3,1,1,0,0,0,0,0,0,1
用户2017,10,10,10,10,0,0,0,0.0,0.0,0,15,17,1,1.0,3,0,0,0,0,0,0,1,0,0
用户2018,8,8,6,8,0,0,0,0.0,0.0,0,8,17,1,34.0,2,0,0,0,0,0,0,1,0,0
用户2019,5,8,5,5,0,0,0,0.0,0.0,1,8,17,0,526.0,2,1,0,0,0,0,0,0,0,1
用户2020,10,10,10,10,0,0,0,0.0,0.0,0,16,17,0,106.0,3,0,0,0,0,0,0,1,0,0
用户2021,10,10,10,10,0,102,0,0.0,0.0,0,15,17,1,59.0,3,0,0,0,0,0,0,1,0,0
用户2022,9,8,7,7,0,0,2,0.0,0.0,0,11,17,0,22.0,3,4,4,4,0,0,0,0,0,1
用户2023,6,6,6,6,1,0,3,0.0,0.0,0,8,17,0,391.0,4,2,4,2,10,0,0,0,0,1
用户2024,8,7,8,7,0,0,0,0.0,0.0,0,11,17,0,55.0,3,0,0,0,0,0,0,0,1,0
用户2025,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,183.0,3,0,0,0,0,0,0,1,0,0
用户2026,8,8,7,6,5,78,2,0.0,0.0,0,11,17,0,286.0,4,3,2,2,0,0,0,0,1,0
用户2027,10,10,10,10,0,0,0,0.0,0.0,0,16,17,0,30.0,3,1,1,0,0,0,0,0,0,1
用户2028,10,9,10,10,0,0,0,0.0,0.0,0,21,1,0,76.0,3,1,2,1,0,0,10,1,0,0
用户2029,10,5,10,6,0,311,0,0.0,0.0,0,16,17,1,300.0,4,3,2,0,0,0,0,0,0,1
用户2030,10,8,9,7,0,0,0,0.0,0.0,0,21,14,0,135.0,3,1,1,0,0,0,0,1,0,0
用户2031,5,5,5,4,0,0,0,0.0,5.0,0,16,17,1,163.0,3,2,4,2,0,0,0,1,0,0
用户2032,10,10,10,10,0,0,0,0.0,0.0,0,11,17,0,42.0,3,0,0,0,0,0,0,0,0,1
用户2033,10,10,10,10,0,0,1,0.0,0.0,0,8,17,1,32.0,3,1,1,1,0,0,0,1,0,0
用户2034,10,10,10,9,0,26,0,0.0,0.0,0,8,17,0,243.0,3,0,0,0,0,0,0,0,0,1
用户2035,4,5,4,3,1,0,0,0.0,0.0,0,21,1,1,22.0,-1,2,2,0,0,0,0,0,0,1
用户2036,8,6,6,7,0,10,0,0.0,0.0,0,21,1,0,85.0,3,1,1,0,0,0,0,1,0,0
用户2037,10,10,10,10,0,0,0,0.0,0.0,0,16,17,0,55.0,3,0,0,0,0,0,0,0,0,1
用户2038,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,244.0,3,0,0,0,0,0,0,0,0,1
用户2039,10,10,10,10,0,0,2,0.0,0.0,0,15,8,0,3.0,1,0,0,0,0,0,0,1,0,0
用户2040,10,10,10,9,0,0,1,0.0,0.0,0,1,17,1,50.0,5,0,0,0,0,0,0,0,0,1
用户2041,10,10,10,10,0,0,0,462.3,40.0,0,8,17,1,40.0,3,0,0,0,0,0,0,0,0,1
用户2042,10,10,10,10,0,0,0,0.0,60.0,0,8,17,0,54.0,3,0,0,0,0,0,0,1,0,0
用户2043,10,10,10,9,0,0,0,0.0,0.0,0,8,17,1,508.0,3,0,0,0,0,0,0,0,1,0
用户2044,10,10,10,10,2,47,0,0.0,0.0,1,15,17,1,208.0,3,2,2,0,0,0,0,0,0,1
用户2045,8,9,8,8,0,0,0,0.0,0.0,0,8,17,1,177.0,4,0,0,0,0,0,0,0,1,0
用户2046,9,9,9,9,0,0,0,0.0,0.0,0,8,17,0,48.0,3,0,0,0,0,0,0,0,0,1
用户2047,5,3,4,4,0,0,0,0.0,0.0,0,21,1,0,328.0,3,0,0,0,0,0,0,0,0,1
用户2048,10,10,10,10,0,0,7,0.0,0.0,0,21,14,0,39.0,2,0,0,0,0,0,0,0,0,1
用户2049,8,9,9,8,0,0,0,0.0,0.0,0,8,17,0,77.0,3,0,0,0,0,0,0,0,0,1
用户2050,5,5,5,5,0,0,0,0.0,0.0,0,21,14,0,371.0,3,2,2,2,0,0,0,1,0,0
用户2051,4,5,6,5,2,78,0,0.0,0.0,0,5,1,1,112.0,2,1,4,1,0,0,0,0,0,1
用户2052,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,223.0,4,0,0,0,0,0,0,0,0,1
用户2053,10,10,10,10,1,0,0,0.0,0.0,0,16,16,0,162.0,3,1,1,0,0,0,0,1,0,0
用户2054,9,8,6,8,0,0,0,0.0,0.0,0,21,1,0,109.0,3,1,1,0,0,0,0,0,0,1
用户2055,7,6,4,3,0,39,0,1076.4,30.0,0,11,17,0,518.0,3,0,0,0,0,0,0,1,0,0
用户2056,7,8,6,6,0,153,0,0.0,0.0,0,16,17,0,264.0,2,3,4,2,0,0,0,1,0,0
用户2057,9,8,8,9,0,0,0,0.0,0.0,0,1,17,1,65.0,3,1,2,0,0,0,0,0,0,1
用户2058,7,7,7,8,0,0,0,0.0,0.0,0,11,17,1,145.0,3,0,0,0,0,0,0,0,0,1
用户2059,10,10,10,10,1,0,0,0.0,0.0,0,15,17,1,102.0,3,0,0,0,0,0,0,0,0,1
用户2060,10,10,10,9,0,0,0,0.0,0.0,0,11,17,1,20.0,3,3,2,0,0,0,0,0,0,1
用户2061,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,421.0,3,0,0,0,0,0,0,1,0,0
用户2062,1,1,1,1,2,546,0,0.0,0.0,0,11,17,0,9.0,3,1,1,0,0,0,0,0,0,1
用户2063,7,9,9,7,0,0,0,1.65,0.29,0,8,17,0,117.0,2,3,4,4,0,0,0,1,0,0
用户2064,10,10,10,10,0,0,0,0.0,0.0,0,15,17,1,52.0,3,0,0,0,0,0,0,1,0,0
用户2065,7,7,8,8,0,0,0,0.0,0.0,0,21,1,1,88.0,3,1,2,2,0,0,0,0,1,0
用户2066,10,10,10,10,0,0,0,0.0,0.0,0,16,16,0,1128.0,3,1,1,0,0,0,0,0,0,1
用户2067,5,3,4,5,0,0,0,0.0,0.0,0,21,1,1,540.0,4,2,2,2,0,0,0,0,0,1
用户2068,10,10,10,10,0,0,0,0.0,0.0,0,21,1,0,74.0,2,3,3,3,0,0,0,1,0,0
用户2069,1,1,1,1,0,0,1,0.0,0.0,0,21,14,0,268.0,3,3,4,2,0,0,0,1,0,0
用户2070,8,7,8,9,0,0,0,0.0,0.0,0,21,1,0,331.0,3,0,0,0,0,0,0,1,0,0
用户2071,8,7,8,7,0,0,0,0.0,0.0,0,11,17,0,35.0,3,2,2,0,0,0,0,0,0,1
用户2072,9,9,9,9,0,0,0,0.0,0.0,0,8,17,1,91.0,3,0,0,0,0,0,0,0,0,1
用户2073,10,10,10,10,0,0,4,39.03,10.0,0,21,14,0,71.0,3,0,0,0,0,0,0,1,0,0
用户2074,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,57.0,3,0,0,0,0,0,0,0,0,1
用户2075,10,10,10,10,0,0,0,0.0,0.0,0,16,16,0,268.0,3,0,0,0,0,0,0,0,0,1
用户2076,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,123.0,3,0,0,0,0,0,0,1,0,0
用户2077,6,3,2,8,0,0,0,0.0,0.0,0,8,17,0,28.0,3,1,3,4,10,0,0,0,0,1
用户2078,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,133.0,3,3,2,2,0,0,0,0,0,1
用户2079,7,6,6,6,30,0,0,0.0,0.0,1,21,14,0,458.0,3,1,1,0,0,0,0,1,0,0
用户2080,9,6,8,10,0,0,0,0.0,0.0,1,8,17,0,132.0,3,0,0,0,0,0,0,0,0,1
用户2081,10,9,9,9,3,6,0,0.0,0.0,0,16,16,0,222.0,3,0,0,0,0,0,0,1,0,0
用户2082,10,9,9,8,0,0,0,0.0,0.0,0,8,17,0,17.0,3,3,1,0,0,0,0,1,0,0
用户2083,9,8,8,8,1,0,8,0.0,0.0,0,21,1,0,272.0,3,3,3,2,0,0,10,1,0,0
用户2084,8,7,7,9,0,6,0,0.0,0.0,0,11,17,0,99.0,3,1,2,0,0,0,0,1,0,0
用户2085,10,10,10,10,0,0,3,0.0,0.0,0,8,17,1,671.0,4,2,2,1,0,0,0,0,1,0
用户2086,5,5,5,5,0,0,0,0.0,0.0,0,15,17,0,14.0,3,1,2,1,0,0,0,0,0,1
用户2087,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,102.0,3,0,0,0,0,0,0,0,0,1
用户2088,5,5,5,5,0,0,0,0.0,0.0,0,8,17,1,114.0,3,1,4,2,0,0,0,0,0,1
用户2089,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,15.0,3,0,0,0,0,0,0,0,0,1
用户2090,10,10,10,10,0,0,0,0.0,0.0,0,8,17,0,35.0,2,0,0,0,0,0,0,1,0,0
用户2091,6,6,6,6,0,0,0,12.42,8.0,0,8,17,0,41.0,2,0,0,0,0,0,0,0,1,0
用户2092,10,10,10,10,0,0,0,0.0,0.0,0,8,17,1,284.0,3,1,1,0,0,0,0,1,0,0
用户2093,4,10,8,2,1,0,0,0.0,0.0,0,8,17,0,387.0,3,10,3,1,0,0,0,1,0,0
用户2094,10,10,10,10,0,0,0,396.57,8.23,0,8,17,1,121.0,3,3,3,2,0,0,0,0,0,1
用户2096,5,5,5,5,0,71,0,0.0,0.0,0,8,17,0,68.0,3,1,4,3,0,0,0,0,0,1
