用户id,语音通话整体满意度,网络覆盖与信号强度,语音通话清晰度,语音通话稳定性,是否遇到过网络问题,脱网次数,mos质差次数,未接通掉话次数,4\5G用户,是否关怀用户,套外流量（MB）,是否4G网络客户（本地剔除物联网）,套外流量费（元）,外省语音占比,语音通话-时长（分钟）,省际漫游-时长（分钟）,终端品牌,终端品牌类型,当月ARPU,当月MOU,前3月ARPU,前3月MOU,外省流量占比,GPRS总流量（KB）,GPRS-国内漫游-流量（KB）,是否5G网络客户,客户星级标识,是否投诉,出现问题地点数,出现问题数
437,9,8,10,9,1,16,0,0,4,-1,0.0,1,0.0,0.037037037037037,162.0,6.0,11,12,60.0,162.0,0.0,95.0,0.000804381978021164,19986773.0,16077.0,-1,3,0,1,2
438,4,1,2,3,1,0,28,4,5,-1,0.0,1,0.0,0.0358672376873662,3736.0,134.0,22,0,339.0,3736.0,0.0,2862.0,0.00937446422381254,32773713.0,307236.0,1,6,0,2,2
439,10,10,10,10,2,35,10,0,4,-1,0.0,1,0.0,0.0348639455782313,1176.0,41.0,11,12,212.45,1176.0,0.0,1714.0,0.145762547501085,27368059.0,3989238.0,-1,6,0,0,0
440,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,0.0344456404736276,929.0,32.0,14,12,10.0,929.0,0.0,970.0,0.165720928500256,3920042.0,649633.0,-1,3,0,0,0
441,8,8,9,9,1,0,4,2,5,-1,0.0,1,0.0,0.0331325301204819,664.0,22.0,22,0,79.1,664.0,0.0,834.0,0.38794327791015,17571708.0,6816826.0,1,4,0,2,1
442,10,10,10,10,1,7,4,0,5,-1,0.0,1,0.0,0.0330578512396694,242.0,8.0,22,0,91.0,242.0,0.0,388.0,0.128659369598769,48524239.0,6243098.0,1,4,0,1,1
443,9,9,9,9,2,0,8,1,5,-1,0.0,1,0.0,0.0329113924050633,395.0,13.0,3,12,133.55,395.0,0.0,288.0,0.0725600618780988,26304622.0,1908665.0,1,4,0,0,0
444,8,7,7,7,1,0,3,2,5,-1,0.0,1,0.0,0.031413612565445,191.0,6.0,18,12,206.5,191.0,0.0,127.0,0.00472089075045177,44042324.0,207919.0,1,4,0,2,2
445,1,1,1,1,1,0,6,0,4,-1,0.0,1,0.0,0.03125,352.0,11.0,22,0,109.1,352.0,0.0,621.0,0.18155767012592,12693201.0,2304548.0,-1,3,0,6,3
446,1,1,1,1,1,0,0,0,2,-1,0.0,-1,0.0,0.03125,128.0,4.0,22,0,18.0,128.0,0.0,165.0,0.0,0.0,0.0,-1,2,0,5,5
447,10,10,10,6,1,0,31,0,4,-1,0.0,1,0.0,0.0310792349726776,2928.0,91.0,11,12,309.0,2928.0,0.0,2562.0,0.296183719694954,49304371.0,14603152.0,-1,6,0,1,4
448,6,1,6,1,1,49,18,0,4,-1,0.0,1,0.0,0.0309951060358891,613.0,19.0,22,0,133.0,613.0,0.0,639.0,0.0299154014857642,10183985.0,304658.0,-1,4,1,1,1
449,10,10,10,9,1,0,1,0,4,1,0.0,1,0.0,0.0304878048780488,164.0,5.0,22,0,90.0,164.0,0.0,239.0,0.0142046607396744,12395157.0,176069.0,-1,3,0,1,1
450,9,7,8,9,1,0,7,1,4,-1,0.0,1,0.0,0.0300044782803403,2233.0,67.0,22,0,347.85,2233.0,0.0,1205.0,0.128154723378626,75817424.0,9716361.0,-1,6,0,4,2
451,6,7,7,5,1,0,13,0,4,-1,0.0,1,0.0,0.0295384615384615,1625.0,48.0,4,12,128.0,1625.0,0.0,697.0,0.0351890212397187,17989645.0,633038.0,-1,4,0,2,2
452,9,9,9,9,1,0,2,0,4,-1,0.0,1,0.0,0.0294117647058824,170.0,5.0,22,10,0.1,170.0,0.0,211.0,0.0142394059317889,11244500.0,160115.0,-1,0,0,1,1
453,10,8,10,10,1,0,0,0,4,-1,0.0,1,0.6,0.0289473684210526,380.0,11.0,11,12,56.6,380.0,0.0,575.0,0.00474416578968744,40516923.0,192219.0,-1,3,0,4,3
454,10,10,10,10,2,23,2,1,5,-1,0.0,1,0.0,0.028436018957346,211.0,6.0,11,12,59.0,211.0,0.0,126.0,0.00903356924698271,29170419.0,263513.0,1,2,0,0,0
455,7,5,6,5,1,0,1,0,4,-1,117.16,1,30.0,0.0274725274725275,182.0,5.0,22,0,144.0,182.0,0.0,318.0,0.00163071027861707,10384432.0,16934.0,-1,3,0,2,4
456,10,10,10,10,1,7,10,1,4,-1,0.0,1,0.0,0.0257879656160458,349.0,9.0,11,12,73.96,349.0,0.0,387.0,0.191167739339424,27386420.0,5235400.0,-1,4,0,3,4
457,9,9,9,9,2,19,4,0,5,-1,0.0,1,0.0,0.0252525252525253,198.0,5.0,11,12,21.0,198.0,0.0,287.0,0.0110484496840238,2029425.0,22422.0,1,1,0,0,0
458,10,10,10,10,2,0,4,0,4,-1,0.0,1,0.0,0.024390243902439,246.0,6.0,14,12,17.74,246.0,0.0,447.0,0.0177809020706481,96733.0,1720.0,-1,3,0,0,0
459,10,10,10,10,2,0,4,0,4,-1,0.0,1,18.0,0.0240673886883273,831.0,20.0,11,12,105.0,831.0,0.0,450.0,0.173075745204842,48816846.0,8449012.0,-1,3,0,0,0
460,8,8,8,8,2,7,8,0,4,-1,0.0,1,0.0,0.0238907849829352,293.0,7.0,22,10,46.18,293.0,0.0,165.0,0.0299933064755496,9878204.0,296280.0,-1,3,0,0,0
461,5,5,5,9,1,0,4,4,5,-1,78.77,1,20.0,0.0231935771632471,1121.0,26.0,22,10,114.36,1121.0,0.0,685.0,0.017997501479655,21606388.0,388861.0,-1,3,0,4,2
462,2,2,4,6,1,18,8,5,5,-1,0.0,1,0.0,0.0231522707034728,1123.0,26.0,22,0,53.2,1123.0,0.0,799.0,0.588725643156009,26217939.0,15435173.0,1,3,0,3,4
463,10,10,10,10,2,0,30,0,5,-1,0.0,1,0.0,0.0227272727272727,616.0,14.0,22,0,45.0,616.0,0.0,854.0,0.000538269373563428,20077308.0,10807.0,1,3,0,0,0
464,10,10,10,10,2,0,13,1,4,-1,0.0,1,0.0,0.0225409836065574,488.0,11.0,22,10,158.1,488.0,0.0,434.0,0.0382613955529539,28993898.0,1109347.0,-1,4,1,0,0
465,2,3,4,6,1,0,8,0,4,-1,0.0,1,0.0,0.0215462610899873,789.0,17.0,22,10,69.3,789.0,0.0,583.0,0.308340534798274,2220613.0,684705.0,-1,-1,0,2,1
466,10,10,10,10,2,0,8,0,5,-1,0.0,1,0.0,0.021015761821366,571.0,12.0,22,0,181.0,571.0,0.0,477.0,0.159426986381495,64606283.0,10299985.0,1,5,1,0,0
467,9,9,10,10,2,6,0,0,4,-1,0.0,1,0.0,0.0198019801980198,1616.0,32.0,11,12,99.0,1616.0,0.0,610.0,0.0255320639741697,38848054.0,991871.0,-1,3,0,0,0
468,5,4,4,5,1,6,2,0,4,-1,0.0,1,0.0,0.0192307692307692,260.0,5.0,11,12,130.0,260.0,0.0,242.0,0.0117943333021322,44068875.0,519763.0,-1,4,0,2,2
469,1,6,3,5,1,0,0,0,2,-1,0.0,-1,0.0,0.0192307692307692,260.0,5.0,4,12,15.0,260.0,0.0,343.0,0.0,0.0,0.0,-1,3,0,1,1
470,10,10,10,10,1,0,12,1,4,-1,0.0,1,0.0,0.0191897654584222,469.0,9.0,22,0,105.0,469.0,0.0,741.0,0.0570445725574619,9208536.0,525297.0,-1,3,0,1,1
471,10,9,9,9,2,7,1,0,5,-1,0.0,1,0.0,0.0189873417721519,632.0,12.0,11,12,225.58,632.0,0.0,387.0,0.0140055006912607,25514975.0,357350.0,1,4,1,0,0
472,10,10,10,10,2,101,18,1,5,-1,0.0,1,0.0,0.0187388459250446,3362.0,63.0,18,12,218.0,3362.0,0.0,1072.0,0.0116498338831052,39651295.0,461931.0,1,5,1,0,0
473,10,9,9,8,2,14,2,0,5,-1,0.0,1,0.0,0.0185873605947955,538.0,10.0,11,12,110.0,538.0,0.0,543.0,0.231658371774343,18488285.0,4282966.0,1,4,0,0,0
474,8,8,8,8,2,0,11,1,4,-1,9.9,1,2.9,0.0183246073298429,382.0,7.0,11,12,103.52,382.0,0.0,291.0,0.0109706294867475,59211461.0,649587.0,-1,3,0,0,0
475,9,9,10,10,2,0,0,1,5,-1,0.0,1,0.0,0.018058690744921,443.0,8.0,11,12,85.0,443.0,0.0,362.0,0.00767320776084014,22605800.0,173459.0,1,3,0,0,0
476,10,9,10,10,2,0,1,0,4,-1,167.75,1,5.0,0.0178970917225951,447.0,8.0,11,12,84.29,447.0,0.0,437.0,0.0136850026529775,16600216.0,227174.0,-1,3,0,0,0
477,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,0.0176415970287837,1077.0,19.0,11,12,192.44,1077.0,0.0,869.0,0.0383423836165061,13131265.0,503484.0,-1,4,0,0,0
478,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,0.0169491525423729,472.0,8.0,18,12,167.8,472.0,9.0,566.0,0.00158618422076491,23196549.0,36794.0,-1,4,0,1,1
479,10,10,10,10,2,0,0,1,4,-1,0.0,1,0.0,0.0161725067385445,371.0,6.0,11,12,49.0,371.0,0.0,221.0,0.00738176309566705,16865483.0,124497.0,-1,1,0,0,0
480,10,10,10,10,2,0,0,1,5,-1,0.0,1,0.0,0.015748031496063,254.0,4.0,18,12,65.0,254.0,0.0,308.0,0.0100141056638839,7535271.0,75459.0,1,3,0,0,0
481,10,9,10,10,1,0,18,0,4,-1,0.0,1,0.0,0.0148809523809524,336.0,5.0,22,10,50.52,336.0,0.0,200.0,0.00632897041567703,9526194.0,60291.0,-1,3,0,2,1
482,9,7,8,7,1,0,0,0,4,-1,0.0,1,0.0,0.0148148148148148,135.0,2.0,11,12,49.0,135.0,0.0,285.0,0.0294872095837661,12353390.0,364267.0,-1,3,0,2,2
483,10,10,10,10,1,0,2,0,5,1,0.0,1,0.0,0.0142857142857143,70.0,1.0,22,0,8.0,70.0,0.0,345.0,5.40080330220545e-05,5573245.0,301.0,1,3,0,2,1
484,6,6,6,7,1,46,0,2,4,-1,0.0,1,0.0,0.0141955835962145,634.0,9.0,11,12,85.0,634.0,0.0,743.0,0.0153835358992625,23971537.0,368767.0,-1,3,0,7,4
485,10,10,10,10,2,47,10,1,4,-1,0.0,1,0.0,0.0133744855967078,972.0,13.0,11,12,95.0,972.0,0.0,1250.0,0.051515100836871,19134370.0,985709.0,-1,3,0,0,0
486,1,1,1,1,1,0,10,0,4,-1,0.0,1,0.0,0.0125130344108446,959.0,12.0,18,11,168.0,959.0,0.0,757.0,0.0324836528665297,25363927.0,823913.0,-1,5,0,1,1
487,7,7,7,6,1,0,6,2,4,-1,0.0,1,0.0,0.0124610591900312,1284.0,16.0,11,12,13.3,1284.0,0.0,965.0,0.0130599585858938,544259.0,7108.0,-1,3,0,2,5
488,10,10,10,10,2,0,8,0,4,-1,0.0,1,0.0,0.0123762376237624,404.0,5.0,11,12,60.0,404.0,0.0,180.0,0.01917189338081,10210207.0,195749.0,-1,3,0,0,0
489,9,9,9,9,1,0,0,0,5,-1,0.0,1,0.0,0.0121107266435986,578.0,7.0,14,12,93.0,578.0,0.0,304.0,0.0529118464968345,35918686.0,1900524.0,1,3,0,2,4
490,4,1,2,5,1,0,0,0,4,-1,0.0,1,0.0,0.0119760479041916,167.0,2.0,11,12,12.08,167.0,0.0,219.0,0.0,27422.0,0.0,-1,3,0,1,4
491,10,10,10,10,1,0,4,0,4,-1,0.0,1,0.0,0.0112994350282486,177.0,2.0,11,12,90.0,177.0,0.0,370.0,0.0168358956957532,76622.0,1290.0,-1,3,0,2,2
492,10,9,10,10,2,0,6,0,5,-1,0.0,1,0.0,0.0109090909090909,275.0,3.0,14,12,87.55,275.0,0.0,368.0,0.0146955118373763,6585412.0,96776.0,1,4,0,0,0
493,9,9,9,10,2,0,6,0,4,-1,0.0,1,0.0,0.0105708245243129,473.0,5.0,22,0,128.4,473.0,0.0,461.0,0.11015365993788,9976836.0,1098985.0,-1,4,0,0,0
494,8,8,8,8,1,0,4,1,4,-1,0.0,1,0.0,0.01,400.0,4.0,22,0,88.0,400.0,0.0,518.0,0.158463588024816,3536213.0,560361.0,-1,3,0,2,2
495,1,1,1,1,1,0,4,15,4,-1,0.0,1,0.0,0.00831600831600832,481.0,4.0,11,12,140.0,481.0,0.0,422.0,0.0404677194741241,79275211.0,3208087.0,-1,4,0,1,1
496,10,10,10,10,1,8,3,0,4,-1,0.0,1,0.0,0.00778816199376947,642.0,5.0,11,12,10.0,642.0,0.0,205.0,0.0146217123711461,41171238.0,601994.0,-1,3,0,3,4
497,10,10,10,10,2,0,5,6,5,-1,0.0,1,0.0,0.00742574257425743,404.0,3.0,11,12,136.0,404.0,0.0,265.0,0.00444003271690974,13169948.0,58475.0,1,4,0,0,0
498,10,10,10,10,1,66,4,0,4,-1,0.0,1,0.0,0.00737704918032787,1220.0,9.0,14,12,158.0,1220.0,0.0,1043.0,0.00958105709403849,18918998.0,181264.0,-1,4,0,1,1
499,5,5,5,3,1,0,8,5,4,-1,0.0,1,0.0,0.00704225352112676,568.0,4.0,22,10,133.33,568.0,0.0,468.0,0.00237545601514435,28738903.0,68268.0,-1,4,0,1,2
500,10,9,9,9,1,253,9,0,4,-1,0.0,1,0.0,0.0069204152249135,578.0,4.0,22,0,60.0,578.0,0.0,737.0,0.0223357708885983,20858604.0,465893.0,-1,2,0,2,3
501,10,10,10,10,1,0,4,0,4,-1,0.0,1,0.0,0.00662251655629139,604.0,4.0,22,10,90.0,604.0,0.0,439.0,0.0639963392496634,5629447.0,360264.0,-1,4,0,1,1
502,8,4,6,4,1,0,5,0,5,-1,0.0,1,0.0,0.00602409638554217,166.0,1.0,22,0,153.0,166.0,0.0,181.0,0.000426709340780853,27252743.0,11629.0,1,4,0,2,1
503,10,10,10,10,2,0,8,1,5,-1,0.0,1,0.0,0.00582241630276565,687.0,4.0,11,12,10.0,687.0,0.0,382.0,0.0104555243932432,22256942.0,232708.0,1,3,0,0,0
504,10,10,10,10,2,0,2,0,4,-1,0.0,1,0.0,0.00564971751412429,177.0,1.0,22,0,8.8,177.0,0.0,101.0,0.000343980885277618,5991612.0,2061.0,-1,3,0,0,0
505,10,10,10,10,1,0,0,0,4,-1,0.0,1,0.0,0.00532859680284192,1126.0,6.0,14,12,80.0,1126.0,0.0,721.0,0.175414058594914,6720003.0,1178783.0,-1,3,0,5,3
506,10,10,10,10,2,0,3,0,4,-1,0.0,1,0.0,0.00512820512820513,390.0,2.0,22,0,217.9,390.0,49.9,296.0,0.00481160527137314,54532736.0,262390.0,-1,5,0,0,0
507,5,6,6,7,1,0,4,2,4,-1,0.0,1,0.0,0.00470366886171214,1063.0,5.0,22,0,182.0,1063.0,0.0,1048.0,0.00846576102692292,24221331.0,205052.0,-1,4,0,1,2
508,5,2,2,2,1,33,12,0,4,-1,0.0,1,0.0,0.00429184549356223,699.0,3.0,22,0,110.0,699.0,0.0,489.0,0.00101694215692656,25148923.0,25575.0,1,4,0,3,3
509,9,9,9,9,1,0,6,1,4,-1,0.0,1,0.0,0.00425531914893617,705.0,3.0,11,12,80.6,705.0,0.0,257.0,0.0225427596024381,8404428.0,189459.0,-1,3,0,2,2
510,10,9,10,9,1,0,6,0,4,-1,0.0,1,0.0,0.00413223140495868,484.0,2.0,11,12,80.0,484.0,0.0,423.0,0.00493714718560066,221788.0,1095.0,-1,3,0,2,2
511,10,10,10,10,2,20,3,1,5,-1,1.03,1,0.29,0.00411522633744856,243.0,1.0,14,12,9.39,243.0,0.0,469.0,0.00375487329434698,410400.0,1541.0,1,3,0,0,0
512,10,9,9,8,2,0,8,0,4,-1,0.0,1,0.0,0.00401606425702811,249.0,1.0,14,4,18.15,249.0,0.0,518.0,0.0058503569128749,72987.0,427.0,-1,3,0,0,0
513,10,10,10,10,2,0,38,2,5,-1,0.0,1,0.0,0.00298284862043251,2682.0,8.0,22,0,211.47,2682.0,0.0,2443.0,0.0118151504602656,14949196.0,176627.0,1,6,0,0,0
514,10,7,10,5,1,14,26,4,5,-1,0.0,1,0.0,0.00267260579064588,2245.0,6.0,22,0,159.1,2245.0,0.0,3227.0,0.0972375060183835,18088329.0,1758864.0,1,-1,0,2,2
515,2,4,7,10,2,124,0,0,4,-1,0.0,1,0.0,0.00251889168765743,397.0,1.0,11,12,10.0,397.0,0.0,315.0,0.00981791361871326,10248817.0,100622.0,-1,3,0,0,0
516,4,4,6,4,1,0,8,1,5,-1,0.0,1,0.0,0.00210084033613445,476.0,1.0,22,0,220.0,476.0,0.0,531.0,0.00333262358446981,18147264.0,60478.0,1,5,0,4,3
517,10,10,10,10,2,0,0,0,5,-1,0.0,1,0.0,0.00163934426229508,610.0,1.0,11,12,315.0,610.0,0.0,818.0,0.00637118842194503,79209712.0,504660.0,1,6,0,0,0
518,8,8,9,8,1,6,17,1,4,-1,0.0,1,0.0,0.00151057401812689,662.0,1.0,22,0,270.0,662.0,0.0,780.0,5.84626081321091e-05,45328118.0,2650.0,-1,6,0,3,4
519,10,10,10,10,2,0,19,0,5,-1,38.01,1,34.0,0.00145137880986938,689.0,1.0,22,0,98.4,689.0,0.0,554.0,0.0280246644398738,94034489.0,2635285.0,1,3,0,0,0
520,1,1,4,4,1,14,14,1,4,-1,38.78,1,10.0,0.00137741046831956,726.0,1.0,22,0,121.85,726.0,0.0,822.0,0.00224991799828195,49056899.0,110374.0,-1,3,0,3,2
521,10,10,10,10,1,0,8,2,5,-1,0.0,1,0.0,0.00129282482223659,1547.0,2.0,11,12,146.0,1547.0,0.0,1826.0,0.0344689351145301,13789605.0,475313.0,1,4,0,2,2
522,6,5,4,4,1,0,40,4,4,-1,0.0,1,0.0,0.00119904076738609,1668.0,2.0,22,10,180.0,1668.0,0.0,1323.0,0.000922223916259885,42318356.0,39027.0,-1,4,0,3,5
523,9,8,8,7,1,0,5,0,5,-1,0.0,1,0.0,0.000997008973080758,1003.0,1.0,22,0,120.6,1003.0,0.0,3239.0,0.00135153999494462,24334463.0,32889.0,1,4,0,3,4
524,10,7,10,10,1,0,0,0,4,-1,0.0,1,0.0,0.000881445570736007,2269.0,2.0,22,10,91.62,2269.0,0.0,2233.0,0.14507462577003,7628598.0,1106716.0,-1,3,0,1,1
527,1,1,4,1,1,110,32,9,5,-1,0.0,1,0.0,0.0,1648.0,0.0,4,12,153.2,1648.0,0.0,920.0,0.0,25181103.0,0.0,-1,4,0,3,4
528,8,8,8,8,1,0,22,0,5,-1,0.0,1,0.0,0.0,1071.0,0.0,11,12,25.0,1071.0,0.0,965.0,0.0,1741971.0,0.0,-1,3,0,3,3
529,8,7,8,7,1,0,20,12,5,-1,0.0,1,0.0,0.0,2897.0,0.0,22,0,180.0,2897.0,0.0,3805.0,0.0,31195080.0,0.0,1,4,0,5,6
531,7,3,6,7,1,0,16,1,4,-1,0.0,1,0.0,0.0,1019.0,0.0,22,0,140.1,1019.0,0.0,1161.0,3.78074798318099e-06,28565776.0,108.0,-1,4,0,5,5
532,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,0.0,0.0,0.0,22,0,8.0,0.0,0.0,125.0,1.0,131.0,131.0,-1,1,0,0,0
533,8,8,8,8,1,0,0,0,4,-1,0.0,1,0.0,0.0,4.0,0.0,22,0,23.0,4.0,0.0,31.0,0.831740594475211,3952730.0,3287646.0,-1,3,0,3,5
534,10,10,10,10,1,12,13,3,4,-1,0.0,1,0.0,0.0,538.0,0.0,14,12,116.45,538.0,0.0,608.0,0.0,25556306.0,0.0,-1,4,0,1,2
535,1,1,1,1,1,0,0,0,4,-1,0.0,1,0.0,0.0,296.0,0.0,22,0,12.2,296.0,0.0,318.0,0.184821889519876,1937.0,358.0,-1,2,0,1,1
536,3,2,3,1,1,0,5,0,5,-1,0.0,1,0.87,0.0,492.0,0.0,11,12,37.23,492.0,0.0,438.0,0.0,217641.0,0.0,1,3,0,3,2
537,6,6,8,6,1,89,13,1,4,-1,169.82,1,5.0,0.0,410.0,0.0,22,0,146.0,410.0,0.0,220.0,0.10467821036648,72823446.0,7623028.0,-1,4,0,1,3
538,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,0.0,12.0,0.0,11,12,10.0,12.0,0.0,50.0,0.095291659971075,31115.0,2965.0,-1,3,0,0,0
539,8,8,8,8,1,0,0,0,4,-1,0.0,1,0.0,0.0,46.0,0.0,22,10,22.6,46.0,0.0,157.0,0.09375,32.0,3.0,-1,3,0,3,2
540,10,10,10,10,2,0,0,0,4,-1,0.0,1,20.0,0.0,61.0,0.0,22,0,48.8,61.0,0.0,123.0,0.0542676799042468,177122.0,9612.0,-1,3,0,0,0
541,5,5,5,5,1,0,0,0,4,-1,0.0,1,0.0,0.0,212.0,0.0,22,0,50.0,212.0,0.0,123.0,0.0383030180652981,20522717.0,786082.0,-1,2,0,3,2
542,10,10,10,10,1,0,14,1,5,-1,0.0,1,0.0,0.0,245.0,0.0,11,12,111.1,245.0,0.0,354.0,0.030749492933715,12039353.0,370204.0,1,4,0,1,3
543,10,10,10,10,1,13,2,0,5,-1,0.0,1,0.0,0.0,1251.0,0.0,11,12,110.0,1251.0,0.0,1104.0,0.0301670344676821,20767570.0,626496.0,1,4,0,1,1
544,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,0.0,212.0,0.0,22,0,37.0,212.0,0.0,298.0,0.0225714250349585,12037831.0,271711.0,-1,3,1,0,0
545,9,8,8,7,2,61,7,1,4,-1,0.0,1,0.0,0.0,322.0,0.0,11,12,114.0,322.0,0.0,166.0,0.0194952614654547,19901195.0,387979.0,-1,4,0,0,0
546,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,0.0,286.0,0.0,11,12,28.0,286.0,0.0,79.0,0.0177057733381596,7558608.0,133831.0,-1,3,0,0,0
547,1,1,1,1,2,0,0,0,4,-1,0.0,1,0.0,0.0,53.0,0.0,22,0,44.9,53.0,0.0,42.0,0.0171436754952821,50400919.0,864057.0,-1,1,0,0,0
548,9,9,9,9,1,0,2,0,4,-1,0.0,1,0.0,0.0,364.0,0.0,22,0,119.0,364.0,0.0,252.0,0.0151201731958504,13405402.0,202692.0,-1,4,0,1,1
549,10,10,10,10,2,0,1,2,4,-1,0.0,1,0.0,0.0,190.0,0.0,22,0,98.1,190.0,0.0,125.0,0.0149261113855931,8915785.0,133078.0,-1,3,0,0,0
550,10,10,10,10,2,7,1,2,4,-1,0.0,1,0.0,0.0,749.0,0.0,11,12,128.0,749.0,0.0,535.0,0.0129301031021854,53378306.0,690187.0,-1,4,0,0,0
551,10,10,10,10,2,0,7,0,4,-1,0.0,1,0.0,0.0,513.0,0.0,11,12,137.0,513.0,9.0,259.0,0.0115713390925153,2781182.0,32182.0,-1,4,0,0,0
552,9,7,7,8,1,0,2,0,5,-1,0.0,1,0.0,0.0,234.0,0.0,14,12,21.0,234.0,0.0,135.0,0.010589656399866,5326424.0,56405.0,1,0,0,3,3
553,9,9,9,9,1,0,5,0,4,1,0.0,1,0.0,0.0,205.0,0.0,22,0,32.0,205.0,0.0,103.0,0.0101561562809814,2742573.0,27854.0,-1,3,0,1,1
554,10,10,10,9,1,0,6,1,5,-1,0.0,1,0.0,0.0,529.0,0.0,11,12,66.2,529.0,0.0,328.0,0.0,6506374.0,0.0,-1,3,0,1,2
555,7,5,8,7,1,56,6,1,5,-1,0.0,1,0.0,0.0,1958.0,0.0,18,12,150.0,1958.0,0.0,783.0,0.00755235398383396,31586708.0,238554.0,1,4,0,2,3
556,8,8,8,8,2,0,2,0,4,1,0.0,1,0.0,0.0,473.0,0.0,11,12,38.3,473.0,0.0,135.0,0.0069611624304551,9704701.0,67556.0,-1,3,0,0,0
557,10,10,10,10,2,0,2,0,4,-1,0.0,1,0.0,0.0,194.0,0.0,22,10,25.0,194.0,0.0,238.0,0.0066694199127698,1411667.0,9415.0,-1,3,0,0,0
558,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,0.0,367.0,0.0,18,12,65.0,367.0,0.0,175.0,0.00512158675380471,2110674.0,10810.0,-1,3,0,0,0
559,10,10,10,10,2,0,3,2,4,-1,0.0,1,0.0,0.0,236.0,0.0,11,12,88.9,236.0,0.0,246.0,0.00490845897105978,27731718.0,136120.0,-1,3,0,0,0
560,10,10,10,10,1,45,1,2,5,1,0.0,1,0.0,0.0,435.0,0.0,18,12,125.0,435.0,0.0,287.0,0.00440277273167133,35610514.0,156785.0,1,4,0,1,1
561,10,10,10,10,1,0,8,0,4,-1,0.0,1,0.0,0.0,382.0,0.0,11,12,68.72,382.0,0.0,243.0,0.00438668913138532,45905464.0,201373.0,-1,3,0,1,2
562,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,0.0,406.0,0.0,11,12,18.0,406.0,0.0,240.0,0.0042694703210877,4028837.0,17201.0,-1,3,0,0,0
563,9,10,10,10,2,24,8,3,4,-1,0.0,1,0.0,0.0,343.0,0.0,11,12,55.0,343.0,0.0,472.0,0.00379342150071815,7191397.0,27280.0,-1,1,0,0,0
564,10,9,9,7,1,0,6,2,4,-1,0.0,1,0.0,0.0,208.0,0.0,22,10,75.0,208.0,0.0,299.0,0.00323961285828409,7519417.0,24360.0,-1,3,0,2,1
565,8,5,6,5,1,0,2,1,4,-1,0.0,1,30.0,0.0,111.0,0.0,22,0,38.5,111.0,0.0,217.0,0.00301913826629823,293130.0,885.0,-1,2,0,4,3
566,7,8,7,7,1,0,2,0,4,-1,0.0,1,0.0,0.0,257.0,0.0,22,10,61.2,257.0,0.0,193.0,0.00273928187274831,22218597.0,60863.0,-1,3,0,1,1
567,10,10,10,10,1,0,2,0,4,-1,0.0,1,0.0,0.0,223.0,0.0,14,12,60.1,223.0,0.0,148.0,0.00267257469780823,18408840.0,49199.0,-1,3,0,1,3
568,10,10,10,10,1,0,2,0,5,-1,0.0,1,0.0,0.0,177.0,0.0,18,12,15.0,177.0,0.0,232.0,0.00264462310342743,66172.0,175.0,1,3,0,1,1
569,8,7,8,8,1,0,1,2,4,-1,0.0,1,0.0,0.0,74.0,0.0,11,12,73.37,74.0,0.0,122.0,0.00187949444323382,36712.0,69.0,-1,3,0,2,2
570,10,10,10,10,1,7,8,0,4,-1,0.0,1,0.0,0.0,251.0,0.0,11,12,140.0,251.0,0.0,142.0,0.00147053332900273,19766298.0,29067.0,-1,4,0,3,2
571,10,10,10,10,1,6,1,0,5,1,0.0,1,5.0,0.0,187.0,0.0,1,12,54.0,187.0,0.0,191.0,0.00146299086016571,30581189.0,44740.0,1,2,0,3,2
572,9,9,9,9,1,0,0,0,5,-1,0.0,1,0.0,0.0,664.0,0.0,11,12,15.0,664.0,0.0,361.0,0.00142746666224197,39897254.0,56952.0,1,3,0,2,1
573,6,10,6,8,1,0,1,0,5,-1,0.0,1,0.0,0.0,70.0,0.0,17,12,9.0,70.0,0.0,114.0,0.00136208039858774,111594.0,152.0,1,2,0,1,3
574,10,10,10,10,1,0,0,4,5,-1,0.0,1,0.0,0.0,1130.0,0.0,11,12,66.0,1130.0,0.0,360.0,0.00131994809973358,21968288.0,28997.0,1,3,0,1,1
575,5,5,5,5,1,0,11,0,4,-1,0.0,1,0.0,0.0,208.0,0.0,11,12,234.0,208.0,0.0,461.0,0.00125627797946847,4031751.0,5065.0,-1,5,0,3,2
576,9,9,9,9,2,0,10,1,4,-1,348.59,1,10.0,0.0,592.0,0.0,22,0,146.15,592.0,0.0,639.0,0.000981344444770135,13885033.0,13626.0,-1,4,0,0,0
577,7,7,7,7,1,0,8,0,5,1,0.0,1,0.0,0.0,245.0,0.0,22,0,90.0,245.0,0.0,395.0,0.000889193790909825,29266961.0,26024.0,1,4,0,3,3
578,10,10,10,10,2,0,0,0,4,-1,0.0,1,0.0,0.0,107.0,0.0,22,0,58.0,107.0,0.0,85.0,0.000888362451880367,33770.0,30.0,-1,2,0,0,0
